added,name,type,link,description,notes
7/16/2025,Academic Positions,Academic,https://www.academicpositions.com,Search for jobs from the world's top universities and research institutions and learn everything you need to succeed in your academic career.,
7/16/2025,All Hands,Tech,https://www.all-hands.us/?utm_source=Contest+Liz+Muehlmann,"The U.S. social impact space has a talent gap. We've got no shortage of critical work to tackle. But to collectively meet the moment, we need a strong, sector-wide pipeline of talented U.S.-based candidates ready to rise to the occasion.","This one includes my referral, I don't think I get anything."
7/16/2025,All Hands,Tech,https://www.jobs.all-hands.us/jobs,"The U.S. social impact space has a talent gap. We've got no shortage of critical work to tackle. But to collectively meet the moment, we need a strong, sector-wide pipeline of talented U.S.-based candidates ready to rise to the occasion.",
7/16/2025,All Tech is Human,Tech,https://www.alltechishuman.substack.com/s/responsible-tech-careers,"Together, we work to solve tech and society's thorniest issues. Our activities build community, leverage collective intelligence, and diversifies the Responsible Tech pipeline.",
7/19/2025,Amanda Ponzar (LinkedIn),Job Fairy,https://www.linkedin.com/in/amandaponzar/,"Communications & Marketing Executive, Highly Networked Social Impact Leader",Communications + Digital Strategy roles
7/19/2025,APSA,Academic,https://www.apsanet.org/careers/ejobs/,"APSA eJobs is the most comprehensive database of jobs related to political science, accessible to members. ",
7/19/2025,Arena,Campaigns,https://www.arena.run/,"We recruit and train campaign staff, deploy them to game-changing campaigns, and support both staff and candidates on the path to victory.",
7/30/2025,Built In,Tech,https://www.builtin.com/,"Built In is the online community for startups and tech companies. Find startup jobs, tech news and events.",
7/19/2025,Cal Careers,Government,https://www.calcareers.ca.gov/,"Find out how to apply for a state job with the State of California, which offers a wide variety of careers and generous benefits. Learn about the steps, assessments, and notifications for getting a state job.",
7/19/2025,Climate & Social Impact Job Fairies,Job Fairy,https://www.saathestudio.com/resources/climate-and-social-impact-job-resources,"What's a job fairy? Someone who regularly shares jobs + resources for climate and social impact careers! The people on this list share incredible opportunities for anyone looking for a full-time job, fellowship, internship, or consulting role in climate and social impact.",A list of people who share climate change and social impact jobs on LinkedIn
7/19/2025,Climate Vine,"Government, Non-Profit/NGO, Tech",https://www.saathestudio.com/resources/climate-and-social-impact-job-resources,"Climate Vine connects climate professionals to help them collaborate and accelerate their impact, together.",
7/16/2025,Council of Non-Profits,Non-Profit/NGO,https://www.councilofnonprofits.org,"The National Council of Nonprofits is the largest network of nonprofits in North America. We champion, inform, and connect organizations across the country to score big wins for nonprofits and the communities they serve.",
7/19/2025,Cynopsis,Media,https://www.cynopsis.com/,"Are you looking for a Media job within the TV, Digital, or Sports industries? Search our job listings below.",
7/16/2025,Data & Donuts,Tech,https://www.datadonuts.la/,Data + Donuts is a morning speaker series and networking event that brings together the makers and doers that are changing local government from the ground up by harnessing technology and data to drive meaningful change.,Los Angeles based jobs & opportunities
7/19/2025,Democracy Fund,"Campaigns, Government, Non-Profit/NGO",https://www.network-jobs.democracyfund.org/companies,"Democracy Fund is a foundation working to build an inclusive, multiracial democracy that is open, just, resilient, and trustworthy. ",
7/19/2025,Democratic Congressional Campaign Committee,Campaigns,https://www.dccc.org/jobs/,"DCCC strives to create an inclusive environment that cultivates and supports diversity at every organizational level, including its staff, candidates, and contractors.",
7/19/2025,Democratic Legislative Campaigns,Campaigns,https://www.dlcc.org/careers/,"Join the DLCC and become a part of the team that will take back our state legislatures and  by winning crucial redistricting fights, remake the U.S. Congress to re-enfranchise millions of voters and end GOP abuse of the democratic process.",
7/19/2025,Democratic Senate,Campaigns,https://www.dscc.org/about-us/jobs/,Are you interested in helping elect more Democrats to the U.S. Senate? Come work at the DSCC!,
7/19/2025,Democrats,Campaigns,https://www.democrats.org/who-we-are/state-parties/jobs/,The Democratic National Committee is committed to electing Democrats everywhere from the school board to the Oval Office. We're mobilizing voters across the country.,
7/16/2025,Dino DNA,Aggregator,https://www.dinodna.org,"Sign up here for jobs, trainings, events, and all the fun of the progressive talent community",
7/19/2025,Ethical Tech Jobs,"Aggregator, Campaigns, Tech",https://www.Ethical Tech Job Resources,"Positive change happens from the  inside. No matter where you are in your career journey, we have ways to help you find a role where you can affect meaningful change and reimagine a better tech future.",
7/16/2025,Future Community,Job Fairy,https://www.brightplus3.com/future-community-jobs/ ,"Future Community Jobs shares good roles in nonprofit communications and tech, content, journalism, fundraising and more.",
7/19/2025,Gain Power,"Campaigns, Non-Profit/NGO",https://www.gainpower.org/,"Discover impactful job opportunities, explore progressive employers, and access essential career resources tailored for the movement.",
7/16/2025,Gender Jobs,"Academic, Campaigns, Government, Media, Non-Profit/NGO, Tech",https://www.genderjobs.org/jobs,"GenderJobs.org is a platform with a comprehensive list of job opportunities to work on gender equality and LGBTQI+ rights, curated by gender professionals and intersectional feminists who intimately know the sector and are extremely passionate about supporting other gender professionals and anyone who is aspiring to become one!",
7/16/2025,Generalist Careers,"Campaigns, Government, Media, Non-Profit/NGO, Tech",https://www.generalistcareer.com/p/opportunities-for-generalists-c0cb,Opportunities for generalists,
7/16/2025,Government Works,Job Fairy,https://www.linkedin.com/company/gov-works,A newsletter about how government works.,
8/4/2025,Grab Jobs,"Campaigns, Industry/Other, Non-Profit/NGO, Tech",https://www.grabjobs.co/us,"GrabJobs is designed with your problems in mind, offering solutions that not only empower you but also make the experience more relaxing",
7/16/2025,H-Net,Academic,https://www.networks.h-net.org/jobs/browse,H-Net: Humanities & Social Sciences Online is dedicated to developing the enormous educational potential of the Internet and the World Wide Web.,
8/5/2025,Himalayas,Tech,https://www.himalayas.app/jobs,Discover the best remote and work from home jobs at top remote companies.,
7/30/2025,Hiring Cafe,Aggregator,https://www.hiring.cafe,Our quest to destroy Indeed by building a 10x better job search engine.,
7/16/2025,Idealist,Aggregator,https://www.idealist.org,"Since 1995, Idealist has been connecting good people with opportunities to do good. That's still our mission, but together there's so much more we can do.",
7/16/2025,Inside Higher Ed,Academic,https://www.careers.insidehighered.com/,"Inside Higher Ed provides the latest news, analysis and solutions for the entire higher education community.",
7/19/2025,Inside the Newsroom,Media,https://www.insidethenewsroom.substack.com/?ref=brightplus3.com,"Inside The Newsroom is home to the largest journalism jobs board, freelance board, calendar and media salaries database in the world.",
7/19/2025,Jessica Marati Radarvar,Job Fairy,https://www.linkedin.com/in/jessicamradparvar/,"Through my company Reconsidered, I build community, create content, teach courses and consult on sustainable business strategy and communications for leading brands and organizations  all toward a vision of a more thriving, just and resilient world.",Corporate Social Responsibility roles
7/19/2025,Journalism Jobs,Media,https://www.rebeccaaguilar.wordpress.com/category/journalism-jobs/?ref=brightplus3.com,#CallingAllJournalists Initiative | Reporter | Media Watchdog | Mentor | Latinas in Journalism,
7/19/2025,Journalism Jobs & a photo of my dog,"Media, Non-Profit/NGO, Tech",https://www.journojobs.substack.com/?ref=brightplus3.com,A newsletter for journalists who want to keep tabs on the industry and job market.,
